time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.978680854226527e-07,-8.810519102021763e-10,0.005253887174850223,6.2831841519150835,0.00026033796106172957,0.0,-5.093842528771789e-05,-9.306568024224725e-08,0.17511817589552067,-5.922863909760644e-05,0.004516742107870597,0.0,459.12138010663614,459.4795023008309,460.93550639528047,460.9308269793578
0.12000000000000001,-1.1887092164744872e-05,2.895097710999794e-07,0.018732154376180483,2.6814539730857234e-05,0.0010679242305240422,0.0,-0.00039391714043854337,1.61711552424579e-05,0.2741381013126796,-0.0035444802898886114,0.01143031978092548,0.0,435.9305368564207,436.50765594888406,437.19242298984574,436.9020126144693
0.18,-8.497148789369681e-05,2.5316722551381065e-05,0.042955351294930964,0.005386225475191075,0.0061496429564522614,0.0,-0.002652830619165143,0.0014599301709693978,0.533213940422464,0.02114164611526296,0.033229136204933465,0.0,483.6103726997757,485.2492155899557,484.3768935359637,486.22947085104454
0.23999999999999996,-0.0003754296793460465,0.00022873034024066628,0.07672917488427779,0.008233376201079778,0.009209911378473379,0.0,-0.00733475277747761,0.005608043371722491,0.5925468011400956,0.00612572992329435,0.02065258810022842,0.0,423.33511001644933,422.25201765500293,426.08330861905114,424.7977601607822
0.3,-0.0010224317454658048,0.0007457086491090151,0.11636237056350013,0.00862116984496275,0.010983537998143333,0.0,-0.014414216768545913,0.011664702453974902,0.7284802330000054,0.006892968091934173,0.02755044751381763,0.0,448.53730952321683,449.09710918723897,448.26969269624226,448.3319209680915
0.36000000000000004,-0.0021814895440511167,0.00164438158566313,0.16447305136890444,0.010952522887155425,0.02426055119698578,0.0,-0.025626599972545537,0.018528565754346978,0.8750839912568504,0.02091048348192404,0.06371758921245736,0.0,451.1673057050594,454.0784777583068,450.8991595368653,452.02990777607016
0.4200000000000001,-0.004273665408705079,0.0030141338569839725,0.22152298202829246,0.01429286928456186,0.02807260147293178,0.0,-0.04452906700510893,0.02751308534914846,1.0264404741576958,0.003844569183820125,0.06217038006825085,0.0,454.33417760547843,454.2129354258833,453.98108571909404,452.60976382891454
0.48000000000000015,-0.007617199994334644,0.004994837566531246,0.28836273623286546,0.014760570040137644,0.03504874040026884,0.0,-0.06768537699121946,0.038567986346771,1.2013585977845778,-0.0028219054171078066,0.08074244579323747,0.0,461.35160294420547,462.8188448217511,460.6871520177778,460.15975962817294
0.5400000000000001,-0.012451393181431238,0.007637137091888653,0.36418331257522896,0.018201184419443628,0.04093201850604711,0.0,-0.0940605077458572,0.04984877123338601,1.3258280135495806,0.01682595170779678,0.0907708555143012,0.0,444.9121367707535,445.73813316782656,446.3213395999187,447.92182291657195
0.6000000000000002,-0.019266729452086052,0.01114295713019682,0.4539493732883205,0.01953785703563593,0.04660290427639957,0.0,-0.13388838061558192,0.06719737770637271,1.6659020145912578,0.009246753743496578,0.08424138015927554,0.0,509.36880690330753,508.9071418666342,509.863274114127,509.32141931036216
0.6600000000000003,-0.02843595344862975,0.01570558921226842,0.5593838886858578,0.03864487979164455,0.05923079000307929,0.0,-0.17321714361933624,0.08701118942320984,1.84816913259015,0.055245238675809744,0.05287059349605801,0.0,466.88086848987973,464.431075373531,463.18725301160856,466.7906650143884
0.7200000000000003,-0.04011030161693811,0.021787159317316132,0.67393834754407,0.048298705880307935,0.063026808535942,0.0,-0.21632630450606116,0.11668659799775506,1.970037395244227,0.08165163485330124,0.042935635427948496,0.0,447.36689371665113,446.55878908054694,447.41102644136276,449.5586797718805
0.7800000000000004,-0.05436445903856536,0.02977441951477783,0.794488217124394,0.053524937837914344,0.06579926086323962,0.0,-0.25907467080096386,0.15005812941453803,2.0481033623682077,0.08683055711746045,0.04673522152633094,0.0,434.43341314890483,434.75302863196293,434.0878270788831,434.52802811672854
0.8400000000000004,-0.0716475896629883,0.04020169634312691,0.925759939780927,0.0595784592908597,0.06996491647699621,0.0,-0.31751623237763715,0.19825206133149342,2.3270039313659123,0.0957633023668117,0.058373388399937866,0.0,494.1167853595922,494.9753163652504,495.5751036293137,496.23704871660954
0.9000000000000005,-0.09227115884058809,0.05344190850992372,1.0698560487300062,0.0655525124427987,0.07406960437846788,0.0,-0.3703747235554418,0.24372543070682784,2.475799234909505,0.0891931660353353,0.048587332640710565,0.0,458.9209951575138,458.14554563906694,458.40881436877,457.8935795715488
0.9600000000000005,-0.11599198413834397,0.06939683837126606,1.2207261652698742,0.0709129587483881,0.07701554031901114,0.0,-0.4205983873850908,0.28862201126276077,2.5529598307274606,0.08641017624399966,0.04965072197181091,0.0,436.5623547287019,436.6526017914411,437.0738094635859,436.84843615880396
1.0200000000000005,-0.14303375126259796,0.08841128488157862,1.379390276284326,0.08382933951508864,0.0800196125945618,0.0,-0.48110545286188794,0.3465992396775402,2.7352630240689826,0.11569322763294083,0.05055855708715644,0.0,470.0737789182978,470.1455397473643,468.45808477911845,470.73693764358217
1.0800000000000005,-0.17374465429426736,0.11114326734056369,1.5485416051651981,0.09092581470393313,0.08348319192399423,0.0,-0.5429580986903244,0.4118820313546247,2.9025716259582506,0.11896769119313552,0.042074850822523935,0.0,466.9461928118836,466.2851798048635,466.35152249311443,466.6187293610661
1.1400000000000006,-0.20844511617083494,0.13815908969078908,1.7299014436414837,0.0990297725275493,0.09023695624163874,0.0,-0.6144753710358395,0.48955611559773476,3.1419218057371094,0.1285996920170622,0.06343457524243767,0.0,487.9394364851312,489.532718319127,488.66929488020196,489.3987723996865
